D	s	Вес	имя
355.6	5	43.23	355.6x5
355.6	5.5	47.49	355.6x5.5
355.6	6	51.73	355.6x6
355.6	7	60.18	355.6x7
355.6	8	68.58	355.6x8
355.6	9	76.93	355.6x9
355.6	10	85.23	355.6x10
377	4	36.79	377x4
377	4.5	41.34	377x4.5
377	5	45.87	377x5
377	5.5	50.39	377x5.5
377	6	54.89	377x6
377	7	63.87	377x7
377	8	72.8	377x8
377	9	81.68	377x9
377	10	90.51	377x10
406.4	4	39.69	406.4x4
406.4	4.5	44.6	406.4x4.5
406.4	5	49.49	406.4x5
406.4	5.5	54.38	406.4x5.5
406.4	6	59.25	406.4x6
406.4	7	68.95	406.4x7
406.4	8	78.6	406.4x8
406.4	9	88.2	406.4x9
406.4	10	97.76	406.4x10
406.4	11	107.26	406.4x11
406.4	12	116.71	406.4x12
426	4	41.63	426x4
426	4.5	46.78	426x4.5
426	5	51.91	426x5
426	5.5	57.03	426x5.5
426	6	62.15	426x6
426	7	72.33	426x7
426	8	82.47	426x8
426	9	92.55	426x9
426	10	102.59	426x10
426	11	112.58	426x11
426	12	122.51	426x12
478	5	58.32	478x5
478	5.5	64.09	478x5.5
478	6	69.84	478x6
478	7	81.31	478x7
478	8	92.72	478x8
478	9	104.09	478x9
478	10	115.41	478x10
478	11	126.68	478x11
478	12	137.9	478x12
530	5	64.73	530x5
530	5.5	71.14	530x5.5
530	6	77.53	530x6
530	7	90.28	530x7
530	8	102.98	530x8
530	9	115.63	530x9
530	10	128.24	530x10
530	11	140.79	530x11
530	12	153.29	530x12
530	13	165.75	530x13
530	14	178.15	530x14
530	16	202.81	530x16
530	17	215.07	530x17
530	17.5	221.18	530x17.5
530	18	227.27	530x18
530	19	239.43	530x19
530	20	251.54	530x20
530	21	263.6	530x21
530	22	275.61	530x22
530	23	287.57	530x23
530	24	299.48	530x24
630	7	107.55	630x7
630	8	122.71	630x8
630	9	137.83	630x9
630	10	152.9	630x10
630	11	167.92	630x11
630	12	182.88	630x12
630	13	197.8	630x13
630	14	212.67	630x14
630	16	242.27	630x16
630	17	256.99	630x17
630	17.5	264.33	630x17.5
630	18	271.66	630x18
630	19	286.29	630x19
630	20	300.86	630x20
720	7	123.08	720x7
720	8	140.47	720x8
720	9	157.8	720x9
720	10	175.09	720x10
720	11	192.33	720x11
720	12	209.52	720x12
720	13	226.66	720x13
720	14	243.75	720x14
720	16	277.78	720x16
720	17	294.72	720x17
720	17.5	303.17	720x17.5
720	18	311.61	720x18
720	19	328.46	720x19
720	20	345.25	720x20
720	21	362	720x21
720	22	378.69	720x22
720	23	395.34	720x23
720	24	411.93	720x24
720	25	428.48	720x25
720	26	444.98	720x26
720	27	461.43	720x27
720	28	477.83	720x28
720	29	494.18	720x29
720	30	510.48	720x30
820	7	140.34	820x7
820	8	160.2	820x8
820	9	180	820x9
820	10	199.75	820x10
820	11	219.46	820x11
820	12	239.11	820x12
820	13	258.72	820x13
820	14	278.27	820x14
820	16	317.24	820x16
820	17	336.64	820x17
820	17.5	346.33	820x17.5
820	18	356	820x18
820	19	375.31	820x19
820	20	394.57	820x20
820	21	413.78	820x21
820	22	432.94	820x22
820	23	452.06	820x23
820	24	471.12	820x24
820	25	490.13	820x25
820	26	509.1	820x26
820	27	528.01	820x27
820	28	546.88	820x28
820	29	565.69	820x29
820	30	584.46	820x30
920	7	157.61	920x7
920	8	179.93	920x8
920	9	202.19	920x9
920	10	224.41	920x10
920	11	246.58	920x11
920	12	268.7	920x12
920	13	290.78	920x13
920	14	312.8	920x14
920	16	356.69	920x16
920	17	378.57	920x17
920	17.5	389.49	920x17.5
920	18	400.39	920x18
920	19	422.17	920x19
920	20	443.89	920x20
1020	8	199.65	1020x8
1020	9	224.39	1020x9
1020	10	249.07	1020x10
1020	11	273.71	1020x11
1020	12	298.3	1020x12
1020	13	322.83	1020x13
1020	14	347.32	1020x14
1020	16	396.15	1020x16
1020	17	420.49	1020x17
1020	17.5	432.64	1020x17.5
1020	18	444.78	1020x18
1020	19	469.02	1020x19
1020	20	493.22	1020x20
1020	21	517.36	1020x21
1020	22	541.45	1020x22
1020	23	565.5	1020x23
1020	24	589.49	1020x24
1020	25	613.44	1020x25
1020	26	637.33	1020x26
1020	27	661.18	1020x27
1020	28	684.98	1020x28
1020	29	708.73	1020x29
1020	30	732.43	1020x30
1020	31	756.07	1020x31
1020	32	779.68	1020x32
1120	8	219.38	1120x8
1120	9	246.58	1120x9
1120	10	273.73	1120x10
1120	11	300.84	1120x11
1120	12	327.89	1120x12
1120	13	354.89	1120x13
1120	14	381.85	1120x14
1120	16	435.61	1120x16
1120	17	462.41	1120x17
1120	17.5	475.8	1120x17.5
1120	18	489.17	1120x18
1120	19	515.88	1120x19
1120	20	542.54	1120x20
1220	9	268.78	1220x9
1220	10	298.4	1220x10
1220	11	327.96	1220x11
1220	12	357.48	1220x12
1220	13	386.95	1220x13
1220	14	416.37	1220x14
1220	16	475.07	1220x16
1220	17	504.34	1220x17
1220	17.5	518.96	1220x17.5
1220	18	533.56	1220x18
1220	19	562.73	1220x19
1220	20	591.86	1220x20
1420	10	347.72	1420x10
1420	11	382.22	1420x11
1420	12	416.67	1420x12
1420	13	451.07	1420x13
1420	14	485.42	1420x14
1420	16	553.98	1420x16
1420	17	588.18	1420x17
1420	17.5	605.27	1420x17.5
1420	18	622.34	1420x18
1420	19	656.45	1420x19
1420	20	690.5	1420x20
