#	имя	Вес		D	s
213	42x3	2.89	4.24	42	3
214	44.5x1.2	1.28	1.72	44.5	1.2
215	44.5x1.4	1.49	2.02	44.5	1.4
216	44.5x1.5	1.59	2.17	44.5	1.5
217	44.5x1.6	1.69	2.32	44.5	1.6
218	44.5x1.8	1.9	2.62	44.5	1.8
219	44.5x2	2.1	2.92	44.5	2
220	44.5x2.2	2.29	3.23	44.5	2.2
221	44.5x2.5	2.59	3.69	44.5	2.5
222	44.5x2.8	2.88	4.16	44.5	2.8
223	44.5x3	3.07	4.48	44.5	3
224	45x1.2	1.3	1.74	45	1.2
225	45x1.4	1.51	2.04	45	1.4
226	45x1.5	1.61	2.19	45	1.5
227	45x1.6	1.71	2.34	45	1.6
228	45x1.8	1.92	2.65	45	1.8
229	45x2	2.12	2.95	45	2
230	45x2.2	2.32	3.26	45	2.2
231	45x2.5	2.62	3.73	45	2.5
232	45x2.8	2.91	4.2	45	2.8
233	45x3	3.11	4.52	45	3
234	48x1.4	1.61	2.17	48	1.4
235	48x1.5	1.72	2.33	48	1.5
236	48x1.6	1.83	2.49	48	1.6
237	48x1.8	2.05	2.82	48	1.8
238	48x2	2.27	3.14	48	2
239	48x2.2	2.48	3.47	48	2.2
240	48x2.5	2.81	3.97	48	2.5
241	48x2.8	3.12	4.47	48	2.8
242	48x3	3.33	4.81	48	3
243	48x3.2	3.54	5.15	48	3.2
244	48x3.5	3.84	5.66	48	3.5
245	48.3x1.4	1.62	2.19	48.3	1.4
246	48.3x1.5	1.73	2.35	48.3	1.5
247	48.3x1.6	1.84	2.51	48.3	1.6
248	48.3x1.8	2.06	2.83	48.3	1.8
249	48.3x2	2.28	3.16	48.3	2
250	48.3x2.2	2.5	3.49	48.3	2.2
251	48.3x2.5	2.82	3.99	48.3	2.5
252	48.3x2.8	3.14	4.49	48.3	2.8
253	48.3x3	3.35	4.83	48.3	3
254	48.3x3.2	3.56	5.18	48.3	3.2
255	48.3x3.5	3.87	5.7	48.3	3.5
256	51x1.4	1.71	2.3	51	1.4
257	51x1.5	1.83	2.47	51	1.5
258	51x1.6	1.95	2.64	51	1.6
259	51x1.8	2.18	2.99	51	1.8
260	51x2	2.42	3.33	51	2
261	51x2.2	2.65	3.68	51	2.2
262	51x2.5	2.99	4.2	51	2.5
263	51x2.8	3.33	4.73	51	2.8
264	51x3	3.55	5.09	51	3
