#		P	A	h	b	s	r1	yo
1	25x26x2	1.09	1.39	25	26	2	3	10
2	25x30x2	1.22	1.55	25	30	2	3	11.9
3	28x27x2.5	1.42	1.81	28	27	2.5	4	10.4
4	30x25x3	1.61	2.05	30	25	3	5	9.6
5	30x30x2	1.3	1.65	30	30	2	3	11.2
6	32x25x3	1.66	2.11	32	25	3	5	9.4
7	32x32x2	1.39	1.77	32	32	2	3	12.9
8	38x95x2.5	4.3	5.48	38	95	2.5	3	41.3
9	40x20x2	1.14	1.45	40	20	2	3	6
10	40x20x3	1.61	2.05	40	20	3	5	6.6
11	40x30x2	1.45	1.85	40	30	2	3	10.1
12	40x30x2.5	1.79	2.28	40	30	2.5	3	10.3
13	40x40x2	1.77	2.25	40	40	2	3	14.5
14	40x40x2.5	2.18	2.78	40	40	2.5	3	14.7
15	40x40x3	2.55	3.25	40	40	3	5	15.2
16	42x42x4	3.49	4.45	42	42	4	6	16.5
17	43x45x2	1.97	2.51	43	45	2	3	16.4
18	45x25x3	1.96	2.5	45	25	3	5	8.2
